run_name,region_name,difference_type,difference_detail
EXP-02035-02036-040226,TSS10932-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02035-02036-040226,TSS10937-002,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02037-02038-040226,TSS10546-019,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02037-02038-040226,TSS10931-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02037-02038-040226,TSS10931-002,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02037-02038-040226,TSS10932-002,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS10546-020,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS10546-021,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS12140-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS12141-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS12141-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS12141-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS12141-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS12141-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS12141-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS12260-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02051-02052_04-09-2026,TSS12261-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02055-02056_040926,TSS00014,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02055-02056_040926,TSS10546-022,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02055-02056_040926,TSS10546-023,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02055-02056_040926,TSS12269-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02055-02056_040926,TSS12269-002,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02055-02056_040926,TSS12270-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02055-02056_040926,TSS12270-002,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02055-02056_040926,TSS12271-001,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
EXP-02055-02056_040926,TSS12271-002,row_only_in_TotalQC,Row exists in TotalQC but not in metric_summary
