run_name,cassette_name,region_name,panel_name,panel_design_id,predesigned_panel_id,region_area,total_cell_area,total_high_quality_decoded_transcripts,fraction_transcripts_decoded_q20,fraction_predesigned_transcripts_decoded_q20,fraction_custom_transcripts_decoded_q20,nuclear_transcripts_per_100um2,decoded_transcripts_per_100um2,adjusted_negative_control_probe_rate,adjusted_negative_control_codeword_rate,adjusted_genomic_control_probe_rate,negative_control_probe_counts_per_control_per_cell,genomic_control_probe_counts_per_control_per_cell,estimated_number_of_false_positive_transcripts_per_cell,estimated_number_of_false_positive_transcripts_per_cell_including_genomic_counts,num_cells_detected,fraction_empty_cells,cells_per_100um2,fraction_transcripts_assigned,median_genes_per_cell,median_predesigned_genes_per_cell,median_custom_genes_per_cell,median_transcripts_per_cell,median_predesigned_transcripts_per_cell,median_custom_transcripts_per_cell,thickness_transcripts_high_quality,stain_definition,segmented_cell_stain_frac,segmented_cell_boundary_frac,segmented_cell_interior_frac,segmented_cell_nuc_expansion_frac,segmented_cell_boundary_count,segmented_cell_interior_count,segmented_cell_nuc_expansion_count,fraction_of_ambiguous_nucleus_mask_pixels,fraction_of_ambiguous_cell_mask_pixels,fraction_of_nucleus_polygons_removed,fraction_of_cell_polygons_removed,fraction_of_nuclei_without_cell,number_of_cell_non_simple_polygons,number_of_cell_multi_polygons,number_of_nucleus_non_simple_polygons,number_of_nucleus_multi_polygons,segmented_cell_imported_frac,segmented_cell_imported_count
EXP-02194-02195_071626,EXP-02194,TSS00042,mother_952g,AXZQQJ,ZEHF9H,139316752.532656,46615767.7557005,340466661,0.79430215049472,0.794874304142306,0.79360485917443,551.089389295204,614.391582052141,0.0005445780456104,0.0006083475813118,0.0009826972251617,0.0001426528481082,0.0002695074794096,0.278458359507396,0.526078599807651,495083,0.0022561873463641,0.355365016051427,0.84120821744717,170,91,78,296,180,116,3.63557344375819,xenium_cell_segmentation_stains_v2,0.983677484381407,0.170434048432283,0.813243435949124,0.0163225156185932,84379,402623,8081,,,,,,,,,,,
EXP-02194-02195_071626,EXP-02195,TSS00045,mother_952g,AXZQQJ,ZEHF9H,139451209.963281,45967063.6563719,331650083,0.790489254687875,0.791934336849642,0.788686823338045,560.633034547451,617.005621938796,0.0008355342598252,0.0006468250907739,0.0012110259807543,0.0001938708591422,0.0002883795727552,0.378435917045651,0.562916926018315,513873,0.0027321925845491,0.368496623396317,0.855176529535197,158,85,72,266,163,103,4.28158342554225,xenium_cell_segmentation_stains_v2,0.982855686132566,0.172809234966616,0.81004645116595,0.0171443138674342,88802,416261,8810,,,,,,,,,,,
EXP-02194-02195_071626,EXP-02195,TSS10546-056,mother_952g,AXZQQJ,ZEHF9H,16209741.2751562,7152386.9775934,46301124,0.744340560817256,0.746655640346705,0.740510064825093,556.549381175751,623.58555458093,0.00061367251651,0.0009086412166961,0.0013178572035968,6.71661653266912e-05,0.0001420443336147,0.131108354717701,0.277270539216073,199133,4.01741549617141e-05,1.22847734963666,0.963286593215318,127,71,55,200,126,73,3.35685548810843,xenium_cell_segmentation_stains_v2,0.993943746139515,0.0431621077370401,0.950781638402475,0.0060562538604852,8595,189332,1206,,,,,,,,,,,
EXP-02194-02195_071626,EXP-02195,TSS12583-001,mother_952g,AXZQQJ,ZEHF9H,10102965.2271875,1853323.65164883,889822,0.943497577164912,0.941622516287636,0.947032997292295,30.3825759398414,37.0288804866573,0.0109111022738379,2.61587566919476e-05,0.014752736358409,7.19156190070318e-05,0.0001281036599596,0.140379288301726,0.25005834424117,37544,0.0291657788195184,0.371613671389935,0.771238517366395,9,6,3,10,7,4,3.34014211529137,xenium_cell_segmentation_stains_v2,0.76092051992329,0.236922011506499,0.523998508416791,0.23907948007671,8895,19673,8976,,,,,,,,,,,
