run_name,cassette_name,region_name,panel_name,panel_design_id,predesigned_panel_id,region_area,total_cell_area,total_high_quality_decoded_transcripts,fraction_transcripts_decoded_q20,fraction_predesigned_transcripts_decoded_q20,fraction_custom_transcripts_decoded_q20,nuclear_transcripts_per_100um2,decoded_transcripts_per_100um2,adjusted_negative_control_probe_rate,adjusted_negative_control_codeword_rate,adjusted_genomic_control_probe_rate,negative_control_probe_counts_per_control_per_cell,genomic_control_probe_counts_per_control_per_cell,estimated_number_of_false_positive_transcripts_per_cell,estimated_number_of_false_positive_transcripts_per_cell_including_genomic_counts,num_cells_detected,fraction_empty_cells,cells_per_100um2,fraction_transcripts_assigned,median_genes_per_cell,median_predesigned_genes_per_cell,median_custom_genes_per_cell,median_transcripts_per_cell,median_predesigned_transcripts_per_cell,median_custom_transcripts_per_cell,thickness_transcripts_high_quality,stain_definition,segmented_cell_stain_frac,segmented_cell_boundary_frac,segmented_cell_interior_frac,segmented_cell_nuc_expansion_frac,segmented_cell_boundary_count,segmented_cell_interior_count,segmented_cell_nuc_expansion_count,fraction_of_ambiguous_nucleus_mask_pixels,fraction_of_ambiguous_cell_mask_pixels,fraction_of_nucleus_polygons_removed,fraction_of_cell_polygons_removed,fraction_of_nuclei_without_cell,number_of_cell_non_simple_polygons,number_of_cell_multi_polygons,number_of_nucleus_non_simple_polygons,number_of_nucleus_multi_polygons,segmented_cell_imported_frac,segmented_cell_imported_count
EXP-01989-01990_022626,EXP-01990,TIS10546-002-002-037,mother_952g,YVWBTQ,ZEHF9H,15359505.939375,7546024.00266328,66694666,0.723404119622431,0.725181912436186,0.72043896512114,831.777751753264,847.867525698552,0.000814071205281,0.0013295274573173,0.0012103386702855,0.0001202766831715,0.0001798467358151,0.234780085550886,0.351060828311219,213674,9.82805582335766e-05,1.3911515177857,0.959301408001653,160,90,70,264,166,97,4.39781772236831,xenium_cell_segmentation_stains_v2,0.993438602731263,0.0378286548667596,0.955609947864504,0.0065613972687364,8083,204189,1402,,,,,,,,,,,
EXP-01989-01990_022626,EXP-01989,TMA00328,mother_952g,YVWBTQ,ZEHF9H,86348803.4520312,33000117.2606845,191573661,0.903716824704411,0.900726127526501,0.907234760390282,489.597910492526,550.038727335829,0.0013553433022782,9.0422878616725e-05,0.0016400204299992,0.0004673083835922,0.0005253177677988,0.912185964772137,1.02542028274344,250370,0.0082877341534528,0.289951904358566,0.947486330075406,216,107,108,426,240,184,3.81468141011304,xenium_cell_segmentation_stains_v2,0.972388864480569,0.0200343491632384,0.95235451531733,0.0276111355194312,5016,238441,6913,,,,,,,,,,,
EXP-01989-01990_022626,EXP-01990,TMA00330,mother_952g,YVWBTQ,ZEHF9H,135120929.83,48148216.9986706,528925711,0.804757473916813,0.803341221754347,0.806433819789868,888.107934214506,946.831273134344,0.0006526160631988,0.0007135868481656,0.0015089734247857,0.000355744921138,0.0006421644388302,0.694414086061524,1.25350498459673,389605,0.004468628482694,0.288338009877652,0.861902468568029,342,161,180,945,516,424,3.59782330193582,xenium_cell_segmentation_stains_v2,0.97130940311341,0.150647450623067,0.820661952490343,0.0286905968865903,58693,319734,11178,,,,,,,,,,,
EXP-01989-01990_022626,EXP-01989,TIS10546-002-002-036,mother_952g,YVWBTQ,ZEHF9H,14913432.2267187,7628025.49782736,69669845,0.728949356374057,0.730376539825741,0.726578722335818,858.209900111689,881.655364407935,0.0007728676068504,0.001254142827409,0.0011862251473245,0.0001149258676385,0.0001794638173334,0.224335293630415,0.350313371434882,217314,1.84065453675553e-05,1.45716959514298,0.965308534847465,165,92,72,272,171,100,4.42260568776573,xenium_cell_segmentation_stains_v2,0.993092943850833,0.0088259385037319,0.984267005347101,0.0069070561491666,1918,213895,1501,,,,,,,,,,,
