run_name,cassette_name,region_name,panel_name,panel_design_id,predesigned_panel_id,region_area,total_cell_area,total_high_quality_decoded_transcripts,fraction_transcripts_decoded_q20,fraction_predesigned_transcripts_decoded_q20,fraction_custom_transcripts_decoded_q20,nuclear_transcripts_per_100um2,decoded_transcripts_per_100um2,adjusted_negative_control_probe_rate,adjusted_negative_control_codeword_rate,adjusted_genomic_control_probe_rate,negative_control_probe_counts_per_control_per_cell,genomic_control_probe_counts_per_control_per_cell,estimated_number_of_false_positive_transcripts_per_cell,estimated_number_of_false_positive_transcripts_per_cell_including_genomic_counts,num_cells_detected,fraction_empty_cells,cells_per_100um2,fraction_transcripts_assigned,median_genes_per_cell,median_predesigned_genes_per_cell,median_custom_genes_per_cell,median_transcripts_per_cell,median_predesigned_transcripts_per_cell,median_custom_transcripts_per_cell,thickness_transcripts_high_quality,stain_definition,segmented_cell_stain_frac,segmented_cell_boundary_frac,segmented_cell_interior_frac,segmented_cell_nuc_expansion_frac,segmented_cell_boundary_count,segmented_cell_interior_count,segmented_cell_nuc_expansion_count,fraction_of_ambiguous_nucleus_mask_pixels,fraction_of_ambiguous_cell_mask_pixels,fraction_of_nucleus_polygons_removed,fraction_of_cell_polygons_removed,fraction_of_nuclei_without_cell,number_of_cell_non_simple_polygons,number_of_cell_multi_polygons,number_of_nucleus_non_simple_polygons,number_of_nucleus_multi_polygons,segmented_cell_imported_frac,segmented_cell_imported_count
EXP-02125-02126_05282026,EXP-02126,TSS12128-006,mother_952g,AXZQQJ,ZEHF9H,39768852.165,14111968.7722507,75196914,0.909044832957245,0.906239584662603,0.913562092812921,507.62292923176,477.155038299173,0.0040280278621584,0.0001433212576879,0.0073780755678608,0.0004907838258398,0.0009001037025423,0.958010028039421,1.75700242736258,266054,0.0011839701714689,0.669000953047748,0.89546188025748,114,60,53,190,118,71,7.01831776001599,xenium_cell_segmentation_stains_v2,0.976215354777602,0.342881520292873,0.633333834484729,0.0237846452223985,91225,168501,6328,,,,,,,,,,,
EXP-02125-02126_05282026,EXP-02126,TSS12124-002,mother_952g,AXZQQJ,ZEHF9H,34955625.4864062,11911171.9637701,37906351,0.935094379371574,0.932014304533315,0.940252599391285,309.94447321267,289.60591035814,0.0078108176624558,9.94711267180335e-05,0.0156613194299876,0.0005896001741923,0.0011440011440011,1.15089954002341,2.23309023309023,220446,0.0010433394119194,0.630645273636223,0.910017901749498,76,42,33,109,69,40,7.52970282447268,xenium_cell_segmentation_stains_v2,0.97554503143627,0.254261814684775,0.721283216751495,0.0244549685637299,56051,159004,5391,,,,,,,,,,,
EXP-02125-02126_05282026,EXP-02126,TSS10546-039,mother_952g,AXZQQJ,ZEHF9H,14487412.85625,7120875.90660582,58578272,0.766906543030389,0.768404872864527,0.764577762955577,759.508354710937,801.319735779502,0.0004988388223846,0.0007790538666285,0.000968158619299,7.17079530638853e-05,0.0001395666480412,0.139973924380704,0.27243409697647,191750,9.38722294654415e-05,1.32356274997214,0.974098109278471,163,89,73,270,165,104,5.12903963135745,xenium_cell_segmentation_stains_v2,0.992792698826597,0.0256219035202086,0.967170795306388,0.0072073011734028,4913,185455,1382,,,,,,,,,,,
EXP-02125-02126_05282026,EXP-02125,TSS10546-037,mother_952g,AXZQQJ,ZEHF9H,16215928.5845312,6764957.67274884,53635129,0.765582149993019,0.766910754251182,0.763492032184854,748.579554972815,778.324633310013,0.0007528992489168,0.0009323168103478,0.0014001613263376,9.86061217201319e-05,0.0001840697624399,0.192479149597698,0.359304176282811,190404,0.0002205836011848,1.17417882674712,0.981694888810652,154,85,69,250,154,95,5.55942960511689,xenium_cell_segmentation_stains_v2,0.994879309258209,0.012462973466944,0.982416335791265,0.0051206907417911,2373,187056,975,,,,,,,,,,,
EXP-02125-02126_05282026,EXP-02125,TSS12128-005,mother_952g,AXZQQJ,ZEHF9H,34544846.8470312,15619643.1732278,10546435,0.900371735913575,0.900018053047812,0.900976136245114,64.6660226297935,65.2996223209642,0.081525953290392,5.28296959934591e-05,0.128909400879647,0.0011517314056979,0.0018247951714341,2.24817970392236,3.56200017463938,357744,0.0066555972986269,1.03559295423753,0.967110497528312,18,10,7,21,13,8,7.68830247861189,xenium_cell_segmentation_stains_v2,0.964259358647524,0.0185048526320497,0.945754506015475,0.0357406413524755,6620,338338,12786,,,,,,,,,,,
EXP-02125-02126_05282026,EXP-02125,TSS12129-001,mother_952g,AXZQQJ,ZEHF9H,25855321.961875,10578370.1596095,7730282,0.917007230095056,0.916243973734894,0.918326408258564,71.5349024099986,71.1881025751324,0.0592085035677098,3.30617530669109e-05,0.0930063623683566,0.0008733131962968,0.001375221357961,1.7047073591715,2.68443209073995,254920,0.0068884355876353,0.985947884833508,0.974161227235953,19,11,8,22,14,8,8.03731218493166,xenium_cell_segmentation_stains_v2,0.961113290444061,0.0063706260787698,0.954742664365291,0.0388867095559391,1624,243383,9913,,,,,,,,,,,
EXP-02125-02126_05282026,EXP-02125,TSS12124-001,mother_952g,AXZQQJ,ZEHF9H,27600994.5815625,14723405.4171015,8663908,0.888785073094219,0.883899596021302,0.897105953284507,57.8053457472211,57.6893915461587,0.0952955861274381,6.42729262406889e-05,0.153524657777473,0.0011487681446273,0.0018493663509711,2.24239541831251,3.60996311709566,351137,0.0068548743083184,1.27218966317453,0.980370867280677,16,9,7,19,11,7,9.75808436602595,xenium_cell_segmentation_stains_v2,0.942204894385952,0.0036766276410631,0.938528266744889,0.0577951056140481,1291,329552,20294,,,,,,,,,,,
EXP-02125-02126_05282026,EXP-02125,TSS12125-001,mother_952g,AXZQQJ,ZEHF9H,35391449.181875,12573262.8596784,9865460,0.899557363643857,0.898030173588021,0.90215690670898,76.2528936622952,74.8683226069195,0.0505262240986549,7.06735853167981e-05,0.0802197512032539,0.0008108652047584,0.0012801884396149,1.58280887968854,2.4989278341283,295641,0.0062677368835851,0.835345844361204,0.954176591866978,19,11,8,22,14,8,7.13915589166877,xenium_cell_segmentation_stains_v2,0.972554550958764,0.0149979197743209,0.957556631184443,0.0274454490412358,4434,283093,8114,,,,,,,,,,,
