run_name,cassette_name,region_name,panel_name,panel_design_id,predesigned_panel_id,region_area,total_cell_area,total_high_quality_decoded_transcripts,fraction_transcripts_decoded_q20,fraction_predesigned_transcripts_decoded_q20,fraction_custom_transcripts_decoded_q20,nuclear_transcripts_per_100um2,decoded_transcripts_per_100um2,adjusted_negative_control_probe_rate,adjusted_negative_control_codeword_rate,adjusted_genomic_control_probe_rate,negative_control_probe_counts_per_control_per_cell,genomic_control_probe_counts_per_control_per_cell,estimated_number_of_false_positive_transcripts_per_cell,estimated_number_of_false_positive_transcripts_per_cell_including_genomic_counts,num_cells_detected,fraction_empty_cells,cells_per_100um2,fraction_transcripts_assigned,median_genes_per_cell,median_predesigned_genes_per_cell,median_custom_genes_per_cell,median_transcripts_per_cell,median_predesigned_transcripts_per_cell,median_custom_transcripts_per_cell,thickness_transcripts_high_quality,stain_definition,segmented_cell_stain_frac,segmented_cell_boundary_frac,segmented_cell_interior_frac,segmented_cell_nuc_expansion_frac,segmented_cell_boundary_count,segmented_cell_interior_count,segmented_cell_nuc_expansion_count,fraction_of_ambiguous_nucleus_mask_pixels,fraction_of_ambiguous_cell_mask_pixels,fraction_of_nucleus_polygons_removed,fraction_of_cell_polygons_removed,fraction_of_nuclei_without_cell,number_of_cell_non_simple_polygons,number_of_cell_multi_polygons,number_of_nucleus_non_simple_polygons,number_of_nucleus_multi_polygons,segmented_cell_imported_frac,segmented_cell_imported_count
output_corrected_TSS06403-005,EXP-02060,TSS06403-005,hother_1420g,abc123,,35539998.6589062,5651993.16422432,25287150,0.834936229469901,,,406.141576043171,396.491084629178,9.51462927252468e-05,0.0001913433344442,2.50935277517134e-05,1.04726141140917e-05,2.84969091539909e-06,0.0148711120420101,0.0040465610998667,133682,0.006089077063479,0.376145202713731,0.886206986552458,80,,,131,,,6.28023634942015,xenium_cell_segmentation_stains_v2,0.973451923220778,0.314829221585554,0.658622701635224,0.0265480767792223,42087,88046,3549,,,,,,,,,,,
output_corrected_TSS05029-004,EXP-02059,TSS05029-004,hother_1420g,abc123,,32564075.9334375,6383568.28749853,28214795,0.823499883296537,,,363.915300750883,358.991773376643,0.0001324875374152,0.0002676385629165,6.99604157968115e-05,1.47652327985038e-05,9.73531832868382e-06,0.0209666305738754,0.013824152026731,132067,0.0025593070184073,0.405560410404248,0.812215187103078,74,,,132,,,5.78674964120123,xenium_cell_segmentation_stains_v2,0.981327659445584,0.272104310690786,0.709223348754799,0.0186723405544156,35936,93665,2466,,,,,,,,,,,
output_corrected_TSS08944-007,EXP-02059,TSS08944-007,hother_1420g,abc123,,19270864.4970312,7116350.57284781,106046445,0.820065953608369,,,1401.9926232136,1408.37363159713,0.0002020668081765,0.0004344721490309,0.0001063596983576,0.0001459450074871,7.90567751656317e-05,0.207241910631741,0.112260620735197,92158,7.59565094728964e-05,0.47822452393974,0.945102921649094,278,,,1063,,,5.43214657025801,xenium_cell_segmentation_stains_v2,0.979535146162026,0.799388007552247,0.180147138609779,0.0204648538379739,73670,16602,1886,,,,,,,,,,,
output_corrected_TSS08944-008,EXP-02060,TSS08944-008,hother_1420g,abc123,,14892233.399375,4746597.6299531,77529144,0.845885388781695,,,1580.16105074657,1548.79329851109,0.0001656602948892,0.0003222639991923,5.81982098142489e-05,0.0001393581805395,4.81883232342042e-05,0.197888616366225,0.06842741899257,58303,0.0001543659845977,0.391499370419798,0.948223883395385,297,,,1254,,,5.87189548621245,xenium_cell_segmentation_stains_v2,0.975301442464367,0.833490557947275,0.141810884517092,0.0246985575356328,48595,8268,1440,,,,,,,,,,,
output_corrected_TSS06403-004,EXP-02059,TSS06403-004,hother_1420g,abc123,,29913679.3760937,5653384.33802482,23644197,0.834045397244675,,,368.119845755658,368.2119904707,6.73175271445563e-05,0.0001873177018721,2.98195026110991e-05,6.84282945449703e-06,3.17042291328048e-06,0.0097168178253857,0.0045020005368582,135178,0.0065543209693884,0.451893591224458,0.880403720202467,74,,,119,,,6.69667960512086,xenium_cell_segmentation_stains_v2,0.971637396617793,0.312232759768601,0.659404636849191,0.0283626033822072,42207,89137,3834,,,,,,,,,,,
output_corrected_TSS05029-005,EXP-02060,TSS05029-005,hother_1420g,abc123,,33431599.3395312,6813601.65779582,31083741,0.818145703793834,,,392.354060589026,381.079189892056,0.0001416868347518,0.0002857492051636,6.57689989244306e-05,1.77984081103786e-05,8.13641513617308e-06,0.0252737395167376,0.0115537094933658,140462,0.0014452307385627,0.420147413749095,0.835331178444705,79,,,142,,,6.94484153589794,xenium_cell_segmentation_stains_v2,0.980678048155373,0.229834403610941,0.750843644544432,0.019321951844627,32283,105465,2714,,,,,,,,,,,
