run_name,cassette_name,region_name,panel_name,panel_design_id,predesigned_panel_id,region_area,total_cell_area,total_high_quality_decoded_transcripts,fraction_transcripts_decoded_q20,fraction_predesigned_transcripts_decoded_q20,fraction_custom_transcripts_decoded_q20,nuclear_transcripts_per_100um2,decoded_transcripts_per_100um2,adjusted_negative_control_probe_rate,adjusted_negative_control_codeword_rate,adjusted_genomic_control_probe_rate,negative_control_probe_counts_per_control_per_cell,genomic_control_probe_counts_per_control_per_cell,estimated_number_of_false_positive_transcripts_per_cell,estimated_number_of_false_positive_transcripts_per_cell_including_genomic_counts,num_cells_detected,fraction_empty_cells,cells_per_100um2,fraction_transcripts_assigned,median_genes_per_cell,median_predesigned_genes_per_cell,median_custom_genes_per_cell,median_transcripts_per_cell,median_predesigned_transcripts_per_cell,median_custom_transcripts_per_cell,thickness_transcripts_high_quality,stain_definition,segmented_cell_stain_frac,segmented_cell_boundary_frac,segmented_cell_interior_frac,segmented_cell_nuc_expansion_frac,segmented_cell_boundary_count,segmented_cell_interior_count,segmented_cell_nuc_expansion_count,fraction_of_ambiguous_nucleus_mask_pixels,fraction_of_ambiguous_cell_mask_pixels,fraction_of_nucleus_polygons_removed,fraction_of_cell_polygons_removed,fraction_of_nuclei_without_cell,number_of_cell_non_simple_polygons,number_of_cell_multi_polygons,number_of_nucleus_non_simple_polygons,number_of_nucleus_multi_polygons,segmented_cell_imported_frac,segmented_cell_imported_count
EXP-02106-02107_050726,EXP-02106,TSS12235-001,mother_952g,AXZQQJ,ZEHF9H,31029115.02,8926792.22231507,23151664,0.889009923786414,0.888460202541548,0.889896736484368,280.716183729461,254.384939566912,0.0067710182609676,7.94308862433434e-05,0.0129261507604389,0.0003336710264117,0.0006396598675214,0.651325843555717,1.24861606140189,209263,0.0037751537538885,0.67440853490381,0.980854551102677,61,35,26,81,49,30,9.26917230435556,xenium_cell_segmentation_stains_v2,0.985764325274893,0.0271524349741713,0.958611890300722,0.0142356747251067,5682,200602,2979,,,,,,,,,,,
EXP-02106-02107_050726,EXP-02107,TSS12235-002,mother_952g,AXZQQJ,ZEHF9H,28389457.3414062,9728212.10046833,27629782,0.896629981673946,0.893078276276461,0.902660037212978,250.903925949359,248.465491401409,0.0051908352219963,8.2560417800576e-05,0.0121796618059837,0.0003206738426346,0.000733732292314,0.625955340822849,1.43224543459704,187106,0.0012239051660556,0.659068603354755,0.874825939632821,58,33,25,81,52,29,7.74914723915482,xenium_cell_segmentation_stains_v2,0.939430055690357,0.234097249687343,0.705332806003014,0.0605699443096427,43801,131972,11333,,,,,,,,,,,
EXP-02106-02107_050726,EXP-02107,TSS10546-030,mother_952g,AXZQQJ,ZEHF9H,15338542.5567187,6520206.81511462,43493626,0.704483905140088,0.70684561802804,0.700707313959934,610.006786587307,642.340315078851,0.0008401934878535,0.0014812571174017,0.0013097926908308,9.07287785788952e-05,0.0001429503158308,0.177102575786003,0.279039016501827,186545,0.0008898657160471,1.21618464929243,0.962943788590999,129,72,57,202,126,76,5.1803263880016,xenium_cell_segmentation_stains_v2,0.987515076791123,0.082323300008041,0.905191776783082,0.0124849232088772,15357,168859,2329,,,,,,,,,,,
EXP-02106-02107_050726,EXP-02106,TSS12231-001,mother_952g,AXZQQJ,ZEHF9H,26696540.81375,12571471.6466446,28530356,0.937996601029423,0.936587477609019,0.940192768250699,242.982182208638,224.2202249052,0.0068118035558971,0.0002463415790871,0.0130017269882843,0.0002852611182298,0.0005503492142864,0.556829702784636,1.07428166628717,319970,0.0032221770791012,1.1985447936206,0.987992648952575,46,27,19,58,35,22,8.83402832158013,xenium_cell_segmentation_stains_v2,0.988792699315561,0.022839641216364,0.965953058099197,0.0112073006844392,7308,309076,3586,,,,,,,,,,,
EXP-02106-02107_050726,EXP-02107,TSS12231-002,mother_952g,AXZQQJ,ZEHF9H,31444039.2740625,8612596.19747256,65417402,0.822113024218876,0.822510563299107,0.821475309010254,690.430159319054,662.481726668479,0.0006191116738061,0.0002177861791248,0.0014590599872486,0.0001103253270748,0.0002464058628544,0.215355038450015,0.480984244291944,160208,0.0006928492959152,0.509501971434542,0.872197217492679,156,82,73,281,173,106,7.53175358564087,xenium_cell_segmentation_stains_v2,0.968441026665335,0.316532258064516,0.651908768600819,0.0315589733346649,50711,104441,5056,,,,,,,,,,,
EXP-02106-02107_050726,EXP-02106,TSS10546-031,mother_952g,AXZQQJ,ZEHF9H,12287728.1454687,6761798.90263418,50571186,0.757778086722484,0.759506344330459,0.755028341689313,663.819969173661,730.595995405228,0.0004892886360694,0.0007914696286473,0.0008865159956658,6.28800369666355e-05,0.0001150206462059,0.122741832158873,0.2245203013941,190442,4.72584828976608e-05,1.54985525188582,0.976869160236819,143,78,64,233,144,88,5.91830456979872,xenium_cell_segmentation_stains_v2,0.99076884300732,0.0780237552640699,0.91274508774325,0.0092311569926801,14859,173825,1758,,,,,,,,,,,
EXP-02106-02107_050726,EXP-02106,TSS12232-001,mother_952g,AXZQQJ,ZEHF9H,28927252.0678125,12302868.5795508,23051266,0.93932080444639,0.936552005425075,0.943685107330925,193.243133503766,184.763422067131,0.0063520931206245,0.0001837603542975,0.0114923933706479,0.0002118835703173,0.0003844923523638,0.41359672925938,0.750529071814212,331668,0.0059999758794939,1.14655895839152,0.986115079319288,38,22,16,46,28,18,9.06773660102325,xenium_cell_segmentation_stains_v2,0.977441296718405,0.014571800716379,0.962869496002026,0.0225587032815948,4833,319353,7482,,,,,,,,,,,
EXP-02106-02107_050726,EXP-02106,TSS12236-001,mother_952g,AXZQQJ,ZEHF9H,29729289.7898437,8972767.96960894,18948418,0.889503044091301,0.889465343768801,0.889559654628779,232.53377595291,207.565937992395,0.0109260105076326,8.9663335087391e-05,0.0188243496320589,0.0004176742141129,0.0007225073869009,0.81530006594856,1.41033441923075,222901,0.0073575264355028,0.749769004156125,0.982900524993696,48,28,20,60,37,23,8.40091382835279,xenium_cell_segmentation_stains_v2,0.97893683743007,0.0227455237975604,0.95619131363251,0.0210631625699301,5070,213136,4695,,,,,,,,,,,
